"latitude","longitude","potencia"
8.55781713,-71.194806656,-47.5
8.564403842,-71.190280195,-47.5
8.559860459,-71.19269226,-47.5
8.595420384,-71.146339373,-48
8.560321521,-71.193639789,-48
8.559691224,-71.19332407,-48
8.587146873,-71.154708462,-48
8.614349613,-71.144492649,-48
8.59917288,-71.142673716,-48
8.566166125,-71.188555746,-48.5
8.601387323,-71.139851599,-48.5
8.56136912,-71.192780597,-48.5
8.597475214,-71.138124672,-48.5
8.595447687,-71.142126376,-48.5
8.577060376,-71.171858721,-48.5
8.603534743,-71.149292926,-48.5
8.57314956,-71.178707938,-48.5
8.59833483,-71.137601415,-48.5
8.594397838,-71.141967073,-48.5
8.557131793,-71.192128541,-48.5
8.562765555,-71.191708474,-49
8.558100852,-71.19459136,-49
8.596001521,-71.144150801,-49
8.55942622,-71.193519617,-49
8.557182569,-71.192699796,-49
8.559195295,-71.192414231,-49
8.603009693,-71.13931868,-49
8.595118353,-71.141098975,-49
8.611984647,-71.1437868,-49
8.600251145,-71.142703254,-49.5
8.575354067,-71.173663149,-49.5
8.557547064,-71.193710426,-49.5
8.601720471,-71.140841479,-49.5
8.558777016,-71.192133088,-49.5
8.599226423,-71.138480141,-50
8.59526703,-71.14234188,-50
8.587347275,-71.155035699,-50
8.60340409,-71.138807378,-50
8.581750116,-71.16595343,-50.5
8.599595898,-71.139458755,-50.5
8.601232414,-71.138676591,-50.5
8.597101002,-71.145446125,-50.5
8.602809978,-71.150513634,-50.5
8.557473027,-71.195085431,-50.5
8.610130206,-71.142196702,-50.5
8.595491969,-71.140621846,-50.5
8.595112719,-71.142520069,-51
8.597715986,-71.148055227,-51
8.578824237,-71.169336502,-51
8.601972125,-71.152638923,-51
8.588694577,-71.152783228,-51.5
8.589128597,-71.152263136,-51.5
8.576093927,-71.172898867,-52
8.55782564,-71.193465853,-52
8.597349993,-71.146539153,-52
8.56153522,-71.192432859,-52
8.619762019,-71.145259498,-52
8.614649197,-71.144443592,-52
8.557039144,-71.193170816,-52.5
8.589562242,-71.151791888,-52.5
8.6032373,-71.138101123,-52.5
8.60063992,-71.151855713,-53
8.591820028,-71.145370044,-53.5
8.62089868,-71.145551945,-53.5
8.602281552,-71.145938335,-54
8.557992824,-71.19468904,-55.5
8.557562804,-71.193704384,-56.5
8.603429424,-71.138244509,-56.5
8.557020501,-71.192817597,-59
