"latitude","longitude","potencia"
8.55732,-71.1952,-88.5
8.55732,-71.1952,-88
8.55732,-71.1952,-80
8.55734,-71.1934,-80.5
8.55734,-71.1934,-73.5
8.55734,-71.1934,-70
8.55734,-71.1934,-54
8.55734,-71.1934,-52
8.55734,-71.1934,-55.5
8.55734,-71.1934,-71
8.55734,-71.1934,-65.5
8.55734,-71.1934,-75
8.55734,-71.1934,-78
8.55734,-71.1934,-80
8.55734,-71.1934,-82.5
8.55734,-71.1934,-77.5
8.55734,-71.1934,-79.5
8.55734,-71.1934,-87
8.55734,-71.1934,-79.5
8.55734,-71.1934,-77
8.55734,-71.1934,-79
8.55734,-71.1934,-75
8.55735,-71.1919,-104.5
8.55735,-71.1919,-98
8.55735,-71.1919,-94
8.55735,-71.1919,-98
8.55735,-71.1919,-99.5
8.55735,-71.1919,-93.5
8.55735,-71.1919,-102
8.55735,-71.1919,-99
8.55735,-71.1919,-98.5
8.55735,-71.1919,-86
8.55735,-71.1919,-102
8.55735,-71.1919,-98.5
8.55735,-71.1919,-100
8.55735,-71.1919,-95
8.55735,-71.1919,-90.5
8.55735,-71.1919,-79.5
8.55735,-71.1919,-81.5
8.55735,-71.1919,-78
8.55735,-71.1919,-100.5
8.55738,-71.1932,-97
8.55738,-71.1932,-94
8.55738,-71.1932,-96
8.55738,-71.1932,-85
8.55738,-71.1932,-100.5
8.55738,-71.1932,-82.5
8.55738,-71.1932,-101.5
8.55738,-71.1932,-99.5
8.55738,-71.1932,-92.5
8.55738,-71.1932,-98
8.55738,-71.1932,-92
8.55738,-71.1932,-104.5
8.55738,-71.1932,-96.5
8.55738,-71.1932,-105
8.55738,-71.1932,-102
8.55738,-71.1932,-104.5
8.55738,-71.1932,-104
8.55738,-71.1932,-96.5
8.55738,-71.1932,-103.5
8.55747,-71.1951,-77
8.55747,-71.1951,-79.5
8.55747,-71.1951,-75.5
8.55747,-71.1951,-74
8.55747,-71.1951,-87
8.55747,-71.1951,-75.5
8.55747,-71.1951,-76
8.55747,-71.1951,-70
8.55747,-71.1951,-76.5
8.55747,-71.1951,-84.5
8.55747,-71.1951,-79.5
8.55747,-71.1951,-75
8.55747,-71.1951,-73.5
8.55747,-71.1951,-75
8.55747,-71.1951,-70.5
8.55747,-71.1951,-76
8.55747,-71.1951,-73
8.55747,-71.1951,-71
8.55747,-71.1951,-74.5
8.5575,-71.1918,-88
8.5575,-71.1918,-94.5
8.5575,-71.1918,-91
8.5575,-71.1918,-83.5
8.5575,-71.1918,-79.5
8.5575,-71.1918,-79
8.5575,-71.1918,-86.5
8.5575,-71.1918,-83.5
8.5575,-71.1918,-85
8.5575,-71.1918,-76
8.5575,-71.1918,-79.5
8.5575,-71.1918,-85
8.5575,-71.1918,-92.5
8.5575,-71.1918,-92.5
8.5575,-71.1918,-89
8.5575,-71.1918,-75
8.5575,-71.1918,-92
8.5575,-71.1918,-89
8.5575,-71.1918,-92
8.55755,-71.1937,-98.5
